SKU,Nombre,Descripción,Costo producción lote (USD),# Ingredientes,Duración esperada (hrs),Lote producción,Tiempo esperado producción (mins),Grupos Productores,Total Grupos Productores,Producción
cd4b7aab6f,Cebolla,Hortaliza de sabor dulce y picante que se utiliza para aportar sabor y textura crujiente a las hamburguesas.,44,0,5,4,9,"[1, 2, 5, 17, 21, 22]",6,fabrica
85552371f9,Cebolla caramelizada,Cebolla cocida con azúcar hasta que se vuelve suave y dulce que se utiliza para aportar un sabor dulce y suave a las hamburguesas.,17,0,10,3,10,"[1, 3, 9, 16, 19, 21, 22, 23]",8,fabrica
ab2da8d916,Cebolla roja,Cebolla de color morado intenso que se utiliza para aportar un sabor ligeramente picante y un color atractivo a las hamburguesas.,28,0,10,3,5,"[2, 4, 6, 7, 13, 14, 16, 17, 18, 20, 23, 25]",12,fabrica
1d1ca71a91,Champiñones,Hongo comestible con sabor suave y terroso que se utiliza para aportar un sabor umami y textura suave a las hamburguesas.,10,0,10,2,10,"[1, 2, 4, 6, 7, 9, 10, 13, 14, 17, 18, 19, 20, 23, 25]",15,fabrica
3990b2ffcc,Enoki,Un tipo de hongo con tallos largos y delgados y pequeñas tapas. Son crujientes y tienen un sabor suave que puede ser ligeramente dulce o a nuez.,67,0,3,2,10,"[3, 4, 10, 11, 12, 14, 19, 21, 25]",9,fabrica
665d8576b6,Espinaca,"Una verdura de hoja verde oscuro, rica en nutrientes y con un sabor ligeramente amargo. Se puede comer cruda en ensaladas o cocida en diversos platos.",69,0,7,2,6,"[1, 4, 8, 9, 11, 12, 17, 20, 21, 22, 24]",11,fabrica
b8c943dcd7,Espinacas frescas,Hojas verdes y frescas que se utilizan para aportar sabor y textura crujiente a las hamburguesas.,23,0,6,3,6,"[2, 3, 6, 10, 13, 14, 15, 17, 19, 20, 21, 23, 24]",13,fabrica
466eb4baac,Espárragos,"Los espárragos tienen un sabor ligeramente terroso y una textura crujiente cuando están frescos. Se pueden asar, hervir, vaporizar o saltear, y a menudo se sirven con mantequilla o aceite de oliva.",39,0,3,2,5,"[1, 2, 4, 5, 6, 8, 9, 10, 11, 17, 19, 21, 22, 23, 24, 25]",16,fabrica
8f36f2c5c3,Filete de Salmón a la parrilla,Es un filete de salmón que se ha cocinado a la parrilla. Es una buena fuente de proteína y ácidos grasos omega-3.,39,0,4,2,10,"[2, 3, 5, 7, 10, 11, 12, 16, 17, 19, 22, 23]",12,fabrica
4d88a06422,Guacamole,"Salsa cremosa hecha a base de aguacate, limón, cebolla y cilantro que se utiliza para aportar sabor y cremosidad a las hamburguesas.",33,0,6,4,6,"[1, 2, 6, 7, 9, 11, 12, 13, 14, 15, 17, 18, 22, 23, 25]",15,fabrica
3e3fd480f3,Halloumi,"Un queso semiduro de Chipre que tiene un alto punto de fusión, lo que lo hace ideal para asar o freír. Tiene un sabor salado y una textura firme y crujiente cuando se cocina.",28,0,7,2,6,"[1, 7, 11, 12, 13, 14, 17, 18, 22, 23, 25]",11,fabrica
d33c24a6c4,Hamburguesa vegetariana de champiñones,Es una hamburguesa hecha a base de champiñones en lugar de carne. Es una opción popular para las personas que buscan una alternativa vegetariana o vegana a las hamburguesas de carne.,93,0,10,2,7,"[1, 3, 4, 5, 7, 8, 10, 11, 15, 18, 19, 20, 21, 24, 25]",15,fabrica
5651dc98d1,Hamburguesa vegetariana de espinacas y feta,Es una hamburguesa hecha a base de espinacas y queso feta en lugar de carne. Es una opción popular para las personas que buscan una alternativa vegetariana o vegana a las hamburguesas de carne.,100,0,4,1,8,"[1, 2, 5, 8, 11, 12, 15, 16, 17, 20, 21, 22, 24]",13,fabrica
8ed28eed84,Hamburguesa vegetariana de lentejas y zanahoria,Es una hamburguesa hecha a base de lentejas y zanahoria en lugar de carne. Es una opción popular para las personas que buscan una alternativa vegetariana o vegana a las hamburguesas de carne.,13,0,6,3,9,"[1, 4, 5, 9, 11, 15, 18, 20, 21, 24, 25]",11,fabrica
df55d1d95f,Huevo Frito,"Huevo cocinado en una sartén con aceite caliente hasta que la clara esté firme y la yema ligeramente cocida, servido como guarnición o plato principal.",94,0,6,4,5,"[1, 2, 5, 7, 8, 10, 11, 13, 17, 19, 20, 21, 23, 24, 25]",15,fabrica
4c33fdd142,Hummus,"Un puré de garbanzos con tahini, aceite de oliva, limón y ajo. Es cremoso y rico, con un sabor a nuez y a ajo, y se utiliza comúnmente como untado o como acompañamiento en los platos.",44,0,8,2,9,"[4, 7, 8, 9, 10, 12, 18, 20, 23, 24]",10,fabrica
61791a408d,Kimchi,"Un plato tradicional coreano hecho de verduras fermentadas, a menudo col china, con chiles y especias. Tiene un sabor fuerte y picante, y es tanto ácido como umami debido a la fermentación.",70,0,9,2,7,"[2, 4, 7, 10, 12, 13, 15, 18, 19, 20, 23, 25]",12,fabrica
ec89361b80,Lechuga,Hortaliza de hojas verdes y crujientes que se utiliza para aportar sabor y textura crujiente a las hamburguesas.,45,0,9,3,8,"[3, 5, 6, 7, 8, 13, 16, 19, 20, 21, 22]",11,fabrica
e702757a97,Mayonesa,"Salsa cremosa hecha a base de huevo, aceite y vinagre que se utiliza para aportar sabor y cremosidad a las hamburguesas.",89,0,4,3,9,"[2, 4, 5, 7, 8, 9, 10, 12, 13, 15, 18, 23, 24]",13,fabrica
031ccb997e,Mayonesa de ajo,Salsa de mayonesa con sabor a ajo que se utiliza para aportar sabor y cremosidad a las hamburguesas.,40,0,4,2,5,"[1, 2, 3, 4, 5, 6, 7, 10, 12, 14, 19, 22, 25]",13,fabrica
460cf8fb01,Mayonesa de hummus,Salsa de mayonesa con sabor a hummus que se utiliza para aportar sabor y cremosidad a las hamburguesas.,70,0,4,2,5,"[2, 4, 6, 9, 10, 12, 13, 16, 17, 20, 22, 23, 24, 25]",14,fabrica
7cb14c4cec,Mayonesa de mostaza y miel,Salsa de mayonesa con sabor a mostaza y miel que se utiliza para aportar sabor y cremosidad a las hamburguesas.,48,0,5,1,8,"[1, 4, 5, 7, 8, 10, 14, 15, 16, 19, 21, 23, 24, 25]",14,fabrica
84c4f3be38,Mayonesa de trufa,Salsa de mayonesa con sabor a trufa que se utiliza para aportar un sabor sofisticado y elegante a las hamburguesas.,63,0,5,2,9,"[1, 6, 7, 11, 14, 16, 21, 22, 23, 25]",10,fabrica
7c4aa6a73f,Merelada de fresa,"La mermelada de fresa es dulce y ligeramente ácida, con trozos de fresas. Proporciona un toque de dulzura y acidez a los platos.",25,0,10,2,5,"[4, 6, 7, 8, 9, 10, 15, 17, 18, 19, 22, 23]",12,fabrica
9da97b3176,Miel,La miel es un edulcorante natural producido por las abejas a partir del néctar de las flores. Tiene un sabor dulce y puede variar en color y sabor según el origen del néctar.,96,0,10,2,9,"[8, 11, 14, 18, 20, 21, 23]",7,fabrica
d118907e7e,Nueces,Las nueces tienen una textura crujiente y un sabor agridulce. Son ricas en ácidos grasos omega-3 y se pueden comer solas o añadir a diferentes platos para dar textura y sabor.,77,0,4,2,8,"[1, 4, 5, 6, 9, 10, 13, 14, 15, 16, 18, 19, 20, 21, 22]",15,fabrica
43dfc53bc0,Pan de aceitunas,Un pan salado y fragante que a menudo tiene trozos de aceituna en la masa. El sabor de las aceitunas complementa bien los ingredientes salados y mediterráneos.,65,0,9,2,6,"[4, 6, 8, 12, 13, 14, 16, 18, 19]",9,fabrica
9d4ed2e7fd,Pan de algas,"Un pan hecho con algas, a menudo nori, que aporta un sabor a mar distintivo. El pan de algas puede tener una textura ligeramente crujiente y es de color verde oscuro.",28,0,3,2,10,"[4, 7, 9, 15, 18, 19, 20, 22, 25]",9,fabrica
a881119d00,Pan de calabaza,"Un pan dulce y húmedo hecho de puré de calabaza. A menudo se sazona con especias de otoño como canela, nuez moscada y clavo, y puede contener nueces o pasas. Tiene un sabor a calabaza y especias y una textura suave.",34,0,6,2,10,"[7, 14, 15, 16, 17, 18, 22, 23, 24, 25]",10,fabrica
1dc06b71f6,Pan de coco,Pan suave y ligeramente dulce con un sabor a coco distintivo. A menudo tiene trozos de coco rallado en la masa para más textura.,97,0,6,2,7,"[1, 3, 4, 9, 12, 14, 16, 17, 19, 21, 22, 24, 25]",13,fabrica
e2e9371ad3,Pan de curry,Un pan aromatizado con especias de curry que le dan un sabor cálido y picante. Suele tener una textura suave y es ideal para acompañar platos con sabores fuertes.,24,0,9,2,6,"[3, 4, 5, 6, 11, 17, 20, 22, 23, 24]",10,fabrica
9c4e8128c7,Pan de donut,Es un pan dulce y esponjoso que se asemeja a un donut en sabor y textura. A menudo se glasea o azucara para un toque extra de dulzura.,86,0,3,2,6,"[1, 3, 7, 9, 10, 11, 15, 22]",8,fabrica
e70328935a,Pan de hamburguesa,Pan redondo y suave que se utiliza como base para las hamburguesas.,86,0,5,3,10,"[2, 3, 4, 5, 7, 9, 11, 12, 14, 16, 17, 21, 22, 23, 25]",15,fabrica
a8bd25d75e,Pan de hamburguesa artesanal,Pan de hamburguesa hecho a mano con ingredientes de alta calidad que se utiliza para aportar un sabor y textura únicos a las hamburguesas.,45,0,9,2,6,"[1, 2, 7, 8, 9, 12, 13, 17, 18, 19, 20, 22, 24, 25]",14,fabrica
100bd51422,Pan de hamburguesa integral,Pan de hamburguesa hecho con harina integral que se utiliza para aportar un sabor y textura más rústicos a las hamburguesas.,17,0,7,3,8,"[1, 4, 5, 6, 9, 11, 12, 17, 20, 21, 23, 24, 25]",13,fabrica
f4a4eed62e,Pan de quinoa,"El pan de quinoa es un pan rico en proteínas, con un sabor a nuez y una textura densa y crujiente. A menudo es sin gluten.",96,0,9,2,5,"[2, 3, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 22]",13,fabrica
537b0722b5,Pechuga de pollo,Es un corte de carne de pollo que se encuentra en la parte delantera del ave. Es una opción popular para las personas que buscan una fuente de proteína magra.,77,0,5,5,10,"[1, 2, 3, 4, 7, 11, 12, 13, 14, 16, 17, 18, 20, 22, 24, 25]",16,fabrica
6cd357a673,Pepino,Hortaliza de sabor fresco y crujiente que se utiliza para aportar sabor y textura crujiente a las hamburguesas.,49,0,7,4,6,"[1, 3, 4, 5, 6, 7, 8, 11, 12, 16, 24]",11,fabrica
53fe04049a,Pera a la parrilla,"Al asar peras, su dulzura natural se intensifica y adquieren un sabor ahumado y ligeramente caramelo. Su textura se vuelve más suave.",91,0,3,2,7,"[3, 5, 6, 7, 8, 9, 12, 13, 15, 16, 20, 22, 25]",13,fabrica
84e65bfc0e,Pescado empanizado,Filete de pescado cubierto con pan rallado que se utiliza para aportar un sabor y textura crujientes a las hamburguesas.,75,0,10,2,5,"[1, 5, 6, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24]",17,fabrica
cad77c7dff,Piña,Fruta dulce y jugosa que se utiliza para aportar un sabor tropical y fresco a las hamburguesas.,16,0,8,1,7,"[1, 6, 8, 15, 18, 19, 21, 23, 25]",9,fabrica
490b71d25f,Piña asada,"Al asar la piña, su dulzura natural se intensifica y adquiere un sabor ahumado, con un toque de caramelo.",19,0,10,2,5,"[1, 3, 5, 6, 7, 10, 13, 15, 17, 18, 19, 22]",12,fabrica
a1f301dc97,Pollo Marinado,"El pollo marinado ha sido empapado en una mezcla de ingredientes que pueden incluir aceites, vinagres, especias y hierbas para mejorar su sabor antes de ser cocinado.",64,0,10,2,5,"[2, 3, 4, 5, 6, 8, 10, 11, 14, 16, 17, 18, 19, 20, 21, 23, 24]",17,fabrica
56b708699a,Portobello a la parrilla,Es un hongo grande y carnoso que se puede cocinar a la parrilla. Es una opción popular para las personas que siguen una dieta vegetariana o vegana.,35,0,4,3,9,"[3, 4, 5, 11, 12, 13, 18, 23, 24]",9,fabrica
e0a787d052,Provolone,Queso semiduro con sabor suave y ahumado que se utiliza para aportar sabor y textura derretida a las hamburguesas.,29,0,5,3,7,"[4, 5, 6, 9, 10, 12, 13, 14, 15, 16, 18, 21, 22, 24]",14,fabrica
d9175cd0ab,Queso azul,Queso de sabor fuerte y picante con textura cremosa que se utiliza para aportar un sabor intenso y sofisticado a las hamburguesas.,61,0,10,2,7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 16, 17, 20]",15,fabrica
e9f2ebee73,Queso brie,Es un queso suave y cremoso de origen francés. Es comúnmente utilizado en la cocina para dar sabor y textura a los platos.,68,0,4,3,9,"[3, 6, 9, 11, 12, 15, 16, 18, 19, 21, 22]",11,fabrica
648e04a1d3,Queso cheddar,Queso semiduro con sabor fuerte y picante que se utiliza para aportar sabor y textura derretida a las hamburguesas.,44,0,9,5,6,"[2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 21, 22, 23, 24, 25]",16,fabrica
018aa592b1,Queso de cabra,"Queso suave y cremoso hecho con leche de cabra, con un sabor característico ligeramente ácido y a menudo con una textura desmenuzable.",69,0,10,3,6,"[1, 2, 8, 10, 11, 13, 14, 15, 17, 19, 20, 21, 24, 25]",14,fabrica
57d036e29e,Queso feta,Es un queso de origen griego hecho de leche de cabra u oveja. Es un queso salado y picante que se utiliza comúnmente en la cocina mediterránea.,33,0,7,2,5,"[1, 2, 4, 5, 12, 14, 15, 16, 18, 19, 22, 23, 24]",13,fabrica
c9d107bcc5,Queso pepper jack,"Queso semi-duro, de origen estadounidense, que contiene trozos de jalapeño y otros pimientos, lo que le da un sabor picante.",73,0,5,2,8,"[2, 7, 11, 12, 14, 15, 16, 18, 20, 21, 22, 25]",12,fabrica
52f81a27b9,Queso suizo,"Queso de leche de vaca con una textura firme y suave, sabor suave y característicos agujeros o 'ojos' en su interior.",41,0,4,3,7,"[1, 8, 9, 10, 12, 13, 14, 16, 23]",9,fabrica
8c6d70bd7e,Rúcula,Planta de hojas verdes y picantes que se utiliza para aportar sabor fresco y picante a las hamburguesas.,95,0,8,3,8,"[2, 3, 5, 6, 7, 10, 11, 14, 16, 17, 19, 21, 23]",13,fabrica
7424b21b1c,Salsa BBQ,"Salsa espesa y dulce hecha a base de tomate, azúcar y especias que se utiliza para aportar un sabor ahumado y dulce a las hamburguesas.",98,0,6,2,6,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 21, 22, 24]",17,fabrica
11f954133c,Salsa chipotle,"Salsa picante hecha con chiles chipotle ahumados y adobados, tomate, ajo, cebolla y otras especias.",43,0,5,1,6,"[4, 7, 8, 9, 10, 17, 18, 21, 23, 25]",10,fabrica
1694fddc6e,Salsa de hummus,"Salsa a base de puré de garbanzos, aceite de oliva, tahini, jugo de limón, ajo y especias, de origen mediterráneo y de Medio Oriente.",68,0,8,3,9,"[2, 3, 5, 7, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 22, 23]",16,fabrica
5d1a9139a8,Salsa de jalapeño,"Salsa picante hecha con jalapeños frescos o en conserva, ajo, cebolla, tomate y especias.",88,0,10,2,8,"[2, 3, 4, 8, 9, 12, 13, 15, 16, 17, 20, 21, 23, 24, 25]",15,fabrica
b570c93323,Salsa de mango y aguacate,Una salsa fresca y vibrante con la dulzura y la acidez del mango equilibrada por la cremosidad y el sabor suave del aguacate.,73,0,6,2,8,"[2, 4, 5, 6, 8, 11, 13, 19, 20, 21, 24]",11,fabrica
febf35a4ba,Salsa de tomate,"Salsa suave hecha con tomates cocidos, ajo, cebolla, aceite de oliva y hierbas, utilizada comúnmente en la cocina italiana.",80,0,10,4,8,"[3, 4, 6, 8, 9, 11, 13, 15, 17, 19, 20]",11,fabrica
d846143374,Salsa de tomate picante,Salsa de tomate con chiles picantes añadidos para darle un sabor más intenso y picante.,75,0,7,2,5,"[1, 2, 3, 4, 6, 11, 12, 14, 16, 18, 23, 25]",12,fabrica
333a762aae,Salsa de yoghurt,"Salsa cremosa y refrescante a base de yoghurt, a menudo mezclada con hierbas, ajo y pepino, ideal para platos de Medio Oriente.",75,0,9,1,8,"[2, 3, 6, 11, 12, 13, 14, 20, 21, 24, 25]",11,fabrica
6ba1c688fe,Salsa de yogurt picante,Una salsa cremosa hecha con yogurt y especias picantes. La salsa de yogurt picante proporciona un contraste refrescante y picante a otros ingredientes.,19,0,8,2,5,"[1, 3, 5, 6, 9, 10, 12, 13, 14, 15, 16, 18, 21, 23, 24, 25]",16,fabrica
c93da4dfec,Salsa teriyaki,"Salsa japonesa a base de salsa de soja, azúcar, mirin y sake, utilizada para marinar y glasear carnes y pescados.",78,0,6,2,5,"[9, 10, 11, 15, 18, 20, 21, 24]",8,fabrica
635212bf6c,Salsa tártara,"Salsa cremosa a base de mayonesa, pepinillos en vinagre, alcaparras, cebolla y a veces mostaza, ideal para acompañar pescado y mariscos.",51,0,5,3,7,"[2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 17, 19, 21, 22, 25]",15,fabrica
5a899a51a8,Setas,"Las setas son un tipo de hongo que se puede encontrar en una variedad de formas, tamaños y colores. Son conocidas por su sabor umami (sabroso) y su textura carnosa. Las setas pueden absorber fácilmente los sabores de los ingredientes con los que se cocinan, lo que las hace muy versátiles en la cocina. Dependiendo del tipo de seta, el sabor puede variar de suave a intenso. Las setas también son nutritivas, ricas en fibra y una buena fuente de vitaminas y minerales.",60,0,8,2,6,"[1, 6, 7, 8, 12, 13, 16, 17, 20, 21, 24, 25]",12,fabrica
4791719128,Tocino,Carne de cerdo ahumada y salada que se utiliza para aportar un sabor salado y ahumado a las hamburguesas.,13,0,8,3,5,"[2, 4, 6, 8, 9, 13, 15, 17, 18, 19, 22, 24]",12,fabrica
5df7f1701b,Tofu,Es un producto de origen vegetal hecho de soja. Es una buena fuente de proteína vegetal y se utiliza comúnmente como sustituto de la carne en las dietas vegetarianas y veganas.,17,0,10,4,5,"[2, 5, 8, 10, 11, 13, 14, 17, 19, 23, 25]",11,fabrica
02e409c8bf,Tomate,Fruto rojo y jugoso que le aporta una sabor fresco a la hamburguesa.,33,0,8,5,9,"[1, 3, 10, 13, 15, 16, 20, 22, 24]",9,fabrica
adb4c6d1db,Tomate seco,"Tomates secados al sol o en horno, de sabor intenso y dulce, utilizados en ensaladas, pastas y otros platos mediterráneos.",64,0,8,1,9,"[2, 3, 4, 7, 8, 9, 11, 12, 14, 15, 18, 19, 20, 25]",14,fabrica
823e36fad1,Tzatziki,"Salsa griega a base de yoghurt, pepino rallado, ajo, aceite de oliva, eneldo y a veces limón, ideal para acompañar platos de carne y pescado.",50,0,10,1,10,"[3, 4, 10, 14, 16, 17, 19, 21, 25]",9,fabrica
4e0065d560,Hamburguesa Clásica,"Una hamburguesa tradicional con sabores sencillos y familiares. El sabor de la carne de res se combina con el queso cheddar, la lechuga y el tomate para crear una experiencia clásica.",321,7,15,4,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
fc68d74e89,Hamburguesa Dragón Fuego,"Esta hamburguesa es para los amantes del picante. El pan de curry añade un toque de especias que se complementa con la carne de cordero. El kimchi aporta acidez y picante, mientras que los enoki (un tipo de hongo) aportan textura y sabor umami. La salsa de yogur picante añade una nota refrescante y picante al final.",342,5,19,4,20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
1682b6fad4,Hamburguesa Dulce Aventura,"Esta hamburguesa es para los amantes de los contrastes. El pan de donut proporciona un toque dulce que combina perfectamente con la jugosa carne de ternera. El queso brie aporta suavidad y un sabor ligeramente salado, mientras que la mermelada de fresa y la albahaca aportan frescura y un toque de dulzura extra.",432,5,15,4,19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
6716416950,Hamburguesa Gourmet,"Una hamburguesa con sabores más sofisticados. La carne de res se combina con el queso brie, la cebolla caramelizada y la arúgula para crear una experiencia lujosa y elegante. El pan de hamburguesa artesanal aporta una textura y sabor únicos.",422,7,10,3,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
6fee080a75,Hamburguesa Hawaiana,"Una hamburguesa con sabores tropicales y ahumados. La carne de res se combina con el queso provolone, la piña a la parrilla, la cebolla roja y la salsa teriyaki para crear una experiencia dulce, ahumada y salada. La lechuga y el tomate aportan un toque fresco.",360,6,15,2,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
d465d07dc6,Hamburguesa Mar y Tierra,"Esta hamburguesa combina los sabores del mar y la tierra. El pan de algas aporta un sabor marino que se complementa con el atún a la parrilla. Los espárragos añaden textura y un sabor terroso, y el tomate seco y el alioli completan la hamburguesa con sabores mediterráneos.",396,4,19,4,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
2e8764580b,Hamburguesa Mediterránea,"Una hamburguesa con sabores mediterráneos y terrosos. La carne de res se combina con el queso feta, la aceitunas, el tomate y la rúcula para crear una experiencia salada y terrosa. El pan de hamburguesa artesanal aporta una textura y sabor únicos.",479,7,18,4,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
ecc8cbf453,Hamburguesa Mediterránea Fresca,"Esta hamburguesa capta los sabores del Mediterráneo. El pan de aceitunas ofrece un sabor salado y terroso que se complementa con el pollo marinado y la berenjena. El hummus aporta cremosidad y sabor, y la salsa tzatziki y la rúcula añaden frescura y un toque picante.",420,6,14,4,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
ff4479d214,Hamburguesa Mexicana,"Una hamburguesa con sabores picantes y ahumados. La carne de res se combina con el queso cheddar, el jalapeño, la cebolla roja y la salsa de chipotle para crear una experiencia picante y ahumada. La lechuga y el tomate aportan un toque fresco.",246,7,13,2,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
79332c1930,Hamburguesa Otoño en el Bosque,"Esta hamburguesa evoca un paseo por el bosque durante la temporada de otoño. Comienza con un pan de calabaza que aporta un toque de dulzura y una textura terrosa que se complementa maravillosamente con la carne de venado. Esta carne es conocida por su sabor robusto y ligeramente dulce, que se acentúa cuando se cocina a la parrilla. Las setas silvestres añaden un sabor umami y una textura carnosa que amplifican la sensación de estar en un bosque. El queso azul proporciona un contraste fuerte y cremoso, mientras que las cebollas caramelizadas añaden un toque de dulzura y acidez que equilibra el conjunto. Esta hamburguesa es como un paseo por un bosque en otoño, lleno de sabores robustos, terrosos y reconfortantes.",438,5,19,4,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
7a205eb9cb,Hamburguesa Picante,"Una hamburguesa con sabores picantes y ahumados. La carne de res se combina con el queso cheddar, los jalapeños, la cebolla roja y la mayonesa de chipotle para crear una experiencia picante y ahumada. La lechuga y el tomate aportan un toque fresco.",446,7,14,1,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
da5032af76,Hamburguesa Tropical Explosiva,"Esta hamburguesa trae a tu paladar el espíritu de una playa tropical. El pan de coco agrega un toque dulce y textura crujiente que contrasta con la carne de cangrejo. La piña asada añade un toque de acidez y dulzura que complementa la salsa de mango y aguacate, creando un equilibrio perfecto entre sabores tropicales.",488,4,13,4,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
4b63d969d8,Hamburguesa Vegana,"Una hamburguesa con sabores terrosos y suaves. Una mezcla de lentejas, zanahorias, cebolla, ajo y pan rallado se combina para crear una textura suave y una mezcla de sabores salados y umami. La lechuga, tomate y mayonesa vegana aportan un toque fresco y cremoso.",487,6,11,1,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
