SKU,Nombre,Descripción,Costo producción lote (USD),# Ingredientes,Duración esperada (hrs),Lote producción,Tiempo esperado producción (mins),Grupos Productores,Total Grupos Productores,Producción
cd4b7aab6f,Cebolla,Hortaliza de sabor dulce y picante que se utiliza para aportar sabor y textura crujiente a las hamburguesas.,1,0,5,4,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
85552371f9,Cebolla caramelizada,Cebolla cocida con azúcar hasta que se vuelve suave y dulce que se utiliza para aportar un sabor dulce y suave a las hamburguesas.,1,0,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
ab2da8d916,Cebolla roja,Cebolla de color morado intenso que se utiliza para aportar un sabor ligeramente picante y un color atractivo a las hamburguesas.,1,0,5,3,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
1d1ca71a91,Champiñones,Hongo comestible con sabor suave y terroso que se utiliza para aportar un sabor umami y textura suave a las hamburguesas.,1,0,5,2,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
b8c943dcd7,Espinacas frescas,Hojas verdes y frescas que se utilizan para aportar sabor y textura crujiente a las hamburguesas.,1,0,5,3,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
4d88a06422,Guacamole,"Salsa cremosa hecha a base de aguacate, limón, cebolla y cilantro que se utiliza para aportar sabor y cremosidad a las hamburguesas.",1,0,5,4,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
ec89361b80,Lechuga,Hortaliza de hojas verdes y crujientes que se utiliza para aportar sabor y textura crujiente a las hamburguesas.,1,0,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
e702757a97,Mayonesa,"Salsa cremosa hecha a base de huevo, aceite y vinagre que se utiliza para aportar sabor y cremosidad a las hamburguesas.",1,0,5,3,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
031ccb997e,Mayonesa de ajo,Salsa de mayonesa con sabor a ajo que se utiliza para aportar sabor y cremosidad a las hamburguesas.,1,0,5,2,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
460cf8fb01,Mayonesa de hummus,Salsa de mayonesa con sabor a hummus que se utiliza para aportar sabor y cremosidad a las hamburguesas.,1,0,5,2,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
7cb14c4cec,Mayonesa de mostaza y miel,Salsa de mayonesa con sabor a mostaza y miel que se utiliza para aportar sabor y cremosidad a las hamburguesas.,1,0,5,1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
84c4f3be38,Mayonesa de trufa,Salsa de mayonesa con sabor a trufa que se utiliza para aportar un sabor sofisticado y elegante a las hamburguesas.,1,0,5,2,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
e70328935a,Pan de hamburguesa,Pan redondo y suave que se utiliza como base para las hamburguesas.,1,0,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
a8bd25d75e,Pan de hamburguesa artesanal,Pan de hamburguesa hecho a mano con ingredientes de alta calidad que se utiliza para aportar un sabor y textura únicos a las hamburguesas.,1,0,5,2,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
100bd51422,Pan de hamburguesa integral,Pan de hamburguesa hecho con harina integral que se utiliza para aportar un sabor y textura más rústicos a las hamburguesas.,1,0,5,3,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
6cd357a673,Pepino,Hortaliza de sabor fresco y crujiente que se utiliza para aportar sabor y textura crujiente a las hamburguesas.,1,0,5,4,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
84e65bfc0e,Pescado empanizado,Filete de pescado cubierto con pan rallado que se utiliza para aportar un sabor y textura crujientes a las hamburguesas.,1,0,5,2,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
cad77c7dff,Piña,Fruta dulce y jugosa que se utiliza para aportar un sabor tropical y fresco a las hamburguesas.,1,0,5,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
e0a787d052,Provolone,Queso semiduro con sabor suave y ahumado que se utiliza para aportar sabor y textura derretida a las hamburguesas.,1,0,5,3,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
d9175cd0ab,Queso azul,Queso de sabor fuerte y picante con textura cremosa que se utiliza para aportar un sabor intenso y sofisticado a las hamburguesas.,1,0,5,2,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
e9f2ebee73,Queso brie,Es un queso suave y cremoso de origen francés. Es comúnmente utilizado en la cocina para dar sabor y textura a los platos.,1,0,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
57d036e29e,Queso feta,Es un queso de origen griego hecho de leche de cabra u oveja. Es un queso salado y picante que se utiliza comúnmente en la cocina mediterránea.,1,0,5,2,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
648e04a1d3,Queso cheddar,Queso semiduro con sabor fuerte y picante que se utiliza para aportar sabor y textura derretida a las hamburguesas.,1,0,5,5,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
018aa592b1,Queso de cabra,"Queso suave y cremoso hecho con leche de cabra, con un sabor característico ligeramente ácido y a menudo con una textura desmenuzable.",1,0,5,3,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
c9d107bcc5,Queso pepper jack,"Queso semi-duro, de origen estadounidense, que contiene trozos de jalapeño y otros pimientos, lo que le da un sabor picante.",1,0,5,2,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
52f81a27b9,Queso suizo,"Queso de leche de vaca con una textura firme y suave, sabor suave y característicos agujeros o 'ojos' en su interior.",1,0,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
8c6d70bd7e,Rúcula,Planta de hojas verdes y picantes que se utiliza para aportar sabor fresco y picante a las hamburguesas.,1,0,5,3,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
7424b21b1c,Salsa BBQ,"Salsa espesa y dulce hecha a base de tomate, azúcar y especias que se utiliza para aportar un sabor ahumado y dulce a las hamburguesas.",1,0,5,2,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
11f954133c,Salsa chipotle,"Salsa picante hecha con chiles chipotle ahumados y adobados, tomate, ajo, cebolla y otras especias.",1,0,5,1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
635212bf6c,Salsa tártara,"Salsa cremosa a base de mayonesa, pepinillos en vinagre, alcaparras, cebolla y a veces mostaza, ideal para acompañar pescado y mariscos.",1,0,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
1694fddc6e,Salsa de hummus,"Salsa a base de puré de garbanzos, aceite de oliva, tahini, jugo de limón, ajo y especias, de origen mediterráneo y de Medio Oriente.",1,0,5,3,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
5d1a9139a8,Salsa de jalapeño,"Salsa picante hecha con jalapeños frescos o en conserva, ajo, cebolla, tomate y especias.",1,0,5,2,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
febf35a4ba,Salsa de tomate,"Salsa suave hecha con tomates cocidos, ajo, cebolla, aceite de oliva y hierbas, utilizada comúnmente en la cocina italiana.",1,0,5,4,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
d846143374,Salsa de tomate picante,Salsa de tomate con chiles picantes añadidos para darle un sabor más intenso y picante.,1,0,5,2,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
333a762aae,Salsa de yoghurt,"Salsa cremosa y refrescante a base de yoghurt, a menudo mezclada con hierbas, ajo y pepino, ideal para platos de Medio Oriente.",1,0,5,1,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
c93da4dfec,Salsa teriyaki,"Salsa japonesa a base de salsa de soja, azúcar, mirin y sake, utilizada para marinar y glasear carnes y pescados.",1,0,5,2,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
02e409c8bf,Tomate,Fruto rojo y jugoso que le aporta una sabor fresco a la hamburguesa.,1,0,5,5,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
adb4c6d1db,Tomate seco,"Tomates secados al sol o en horno, de sabor intenso y dulce, utilizados en ensaladas, pastas y otros platos mediterráneos.",1,0,5,1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
4791719128,Tocino,Carne de cerdo ahumada y salada que se utiliza para aportar un sabor salado y ahumado a las hamburguesas.,1,0,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
df55d1d95f,Huevo Frito,"Huevo cocinado en una sartén con aceite caliente hasta que la clara esté firme y la yema ligeramente cocida, servido como guarnición o plato principal.",1,0,5,4,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
823e36fad1,Tzatziki,"Salsa griega a base de yoghurt, pepino rallado, ajo, aceite de oliva, eneldo y a veces limón, ideal para acompañar platos de carne y pescado.",1,0,5,1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,fabrica
4e0065d560,Hamburguesa Clásica,"Una hamburguesa tradicional con sabores sencillos y familiares. El sabor de la carne de res se combina con el queso cheddar, la lechuga y el tomate para crear una experiencia clásica.",1,7,5,4,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
ecfc869d23,Hamburguesa de Pollo,"Una hamburguesa con un sabor más suave y ligero que la hamburguesa clásica. La carne de pollo se combina con lechuga, tomate, cebolla y mayonesa para crear un sabor fresco y ligero.",1,6,5,3,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
e481e233b2,Hamburguesa Vegetariana,"Una hamburguesa con sabores terrosos y suaves. Los garbanzos, espinacas, cebolla, ajo y pan rallado se combinan para crear una textura suave y una mezcla de sabores salados y umami. La lechuga, tomate y mayonesa vegana aportan un toque fresco y cremoso.",1,5,5,2,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
6716416950,Hamburguesa Gourmet,"Una hamburguesa con sabores más sofisticados. La carne de res se combina con el queso brie, la cebolla caramelizada y la arúgula para crear una experiencia lujosa y elegante. El pan de hamburguesa artesanal aporta una textura y sabor únicos.",1,7,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
adfb55e095,Hamburguesa con Tocino,"Una hamburguesa con sabores fuertes y salados. La carne de res se combina con el queso cheddar, el tocino crujiente y la salsa BBQ para crear una experiencia ahumada y salada. La lechuga y el tomate aportan un toque fresco.",1,7,5,2,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
0a44f324c1,Hamburguesa con Huevo,"Una hamburguesa con sabores suaves y cremosos. La carne de res se combina con el queso cheddar, el huevo frito y la mayonesa de ajo para crear una experiencia cremosa y ligeramente salada. La lechuga y el tomate aportan un toque fresco.",1,8,5,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
5a6574e79f,Hamburguesa de Salmón,"Una hamburguesa con sabores frescos y del mar. El salmón fresco se combina con la lechuga, el tomate y la mayonesa de eneldo para crear una experiencia fresca y suave.",1,6,5,4,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
6fee080a75,Hamburguesa Hawaiana,"Una hamburguesa con sabores tropicales y ahumados. La carne de res se combina con el queso provolone, la piña a la parrilla, la cebolla roja y la salsa teriyaki para crear una experiencia dulce, ahumada y salada. La lechuga y el tomate aportan un toque fresco.",1,6,5,2,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
7a205eb9cb,Hamburguesa Picante,"Una hamburguesa con sabores picantes y ahumados. La carne de res se combina con el queso cheddar, los jalapeños, la cebolla roja y la mayonesa de chipotle para crear una experiencia picante y ahumada. La lechuga y el tomate aportan un toque fresco.",1,7,5,1,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
2e8764580b,Hamburguesa Mediterránea,"Una hamburguesa con sabores mediterráneos y terrosos. La carne de res se combina con el queso feta, la aceitunas, el tomate y la rúcula para crear una experiencia salada y terrosa. El pan de hamburguesa artesanal aporta una textura y sabor únicos.",1,7,5,4,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
24b96e2e69,Hamburguesa de Queso Azul,"Una hamburguesa con sabores fuertes y salados. La carne de res se combina con el queso azul, la lechuga, el tomate y la mayonesa de ajo para crear una experiencia salada y cremosa.",1,5,5,2,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
ff4479d214,Hamburguesa Mexicana,"Una hamburguesa con sabores picantes y ahumados. La carne de res se combina con el queso cheddar, el jalapeño, la cebolla roja y la salsa de chipotle para crear una experiencia picante y ahumada. La lechuga y el tomate aportan un toque fresco.",1,7,5,2,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
051b0206d1,Hamburguesa de Pollo BBQ,"Una hamburguesa con sabores dulces y ahumados. La carne de pollo se combina con el queso cheddar, el tocino, la cebolla frita y la salsa BBQ para crear una experiencia ahumada y dulce. La lechuga y el tomate aportan un toque fresco.",1,5,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
4b63d969d8,Hamburguesa Vegana,"Una hamburguesa con sabores terrosos y suaves. Una mezcla de lentejas, zanahorias, cebolla, ajo y pan rallado se combina para crear una textura suave y una mezcla de sabores salados y umami. La lechuga, tomate y mayonesa vegana aportan un toque fresco y cremoso.",1,6,5,1,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
8701c5cdb7,Hamburguesa de Pavo,"Una hamburguesa con sabores suaves y ligeros. La carne de pavo se combina con la lechuga, el tomate y la mayonesa para crear un sabor fresco y ligero.",1,6,5,1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
9a7ff52e69,Hamburguesa de Champiñones,Una hamburguesa con sabores terrosos y suaves. Los champiñones se combinan con la carne de res para crear una experiencia umami y terrosa. La lechuga y el tomate aportan un toque fresco.,1,5,5,3,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
6b6bd5ce9f,Hamburguesa de Queso de Cabra,"Una hamburguesa con sabores intensos y cremosos. La carne de res se combina con el queso de cabra, la rúcula y la cebolla caramelizada para crear una experiencia cremosa y ligeramente dulce. El pan de hamburguesa artesanal aporta una textura y sabor únicos.",1,5,5,2,5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
2c3e81f42b,Hamburguesa de Pescado,"Una hamburguesa con sabores frescos y del mar. El pescado fresco se combina con la lechuga, el tomate y la mayonesa de limón para crear una experiencia fresca y suave.",1,6,5,3,4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
3287bfb415,Hamburguesa de Pavo con Guacamole,"Una hamburguesa con sabores suaves y frescos. La carne de pavo se combina con el guacamole, la lechuga y el tomate para crear un sabor fresco y suave.",1,6,5,1,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
868db3472f,Hamburguesa de Espinacas y Feta,Una hamburguesa con sabores mediterráneos y terrosos. La mezcla de espinacas frescas y queso feta se combina con la carne de res para crear una experiencia salada y terrosa. El pan de hamburguesa artesanal aporta una textura y sabor únicos.,1,5,5,2,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
3da1183c5b,Hamburguesa de Cerdo BBQ,"Una hamburguesa con sabores dulces y ahumados. La carne de cerdo se combina con el queso cheddar, el tocino, la cebolla frita y la salsa BBQ para crear una experiencia ahumada y dulce. La lechuga y el tomate aportan un toque fresco.",1,5,5,3,2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
73b8bdf09f,Hamburguesa de Portobello,"Una hamburguesa vegetariana con sabores terrosos y suaves. El hongo portobello se combina con la lechuga, el tomate y la mayonesa de ajo para crear una experiencia suave y ligeramente salada. El pan de hamburguesa artesanal aporta una textura y sabor únicos.",1,5,5,2,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",25,cocina
